postal_code,latitude,longitude
1910043,33.9610387,130.9184191
1920362,35.6247451,139.3935579
1920919,35.6162352,139.3277931
1930835,35.658237,139.3141045
1930844,35.6312656,139.2702731
1940021,35.5491933,139.4458213
1960025,35.7085023,139.3728953
1970013,35.7484373,139.3329308
1980024,35.7833518,139.3078388
2020012,35.7460701,139.5658417
2040004,35.7760375,139.5010009
2040022,35.7686938,139.5166699
2060021,35.6448497,139.4606895
2060025,35.6255342,139.4456197
2060802,35.6417507,139.5080374
2100007,35.5300918,139.6990472
2110045,35.5881011,139.6300473
2130011,35.5965786,139.6155522
2130022,35.5807707,139.6218547
2140014,35.6210173,139.5630118
2140036,35.602889,139.537595
2150021,35.5965367,139.5030668
2150034,35.6142343,139.4713348
2160004,35.5787797,139.5710481
2160022,35.5999664,139.5748654
2200012,35.459014,139.6304953
2210802,35.4881066,139.6236625
2210822,35.4839299,139.6291939
2210856,35.4785102,139.6015314
2230052,35.5386532,139.6447641
2240003,35.552154,139.5778367
2240053,35.5226729,139.5675832
2240054,35.5164001,139.5587081
2250012,35.5618708,139.5509425
2260025,35.5242639,139.5160116
2270055,35.5400171,139.5194197
2270062,35.5432731,139.5167166
2310066,35.4456464,139.6280978
2320066,35.427629,139.5829086
2360042,35.3448434,139.6118852
2360052,35.3664897,139.6185219
2390801,35.28499,139.6723642
2400023,35.4419055,139.5980858
2410824,35.4549571,139.5138429
2420017,35.4710103,139.4629004
2430432,35.4511801,139.3930991
2440801,35.4283584,139.5569058
2440817,35.4076686,139.5390119
2450014,35.4067933,139.5081824
2450016,35.4268962,139.4942901
2460014,35.471351,139.4829355
2470074,35.3542289,139.5137812
2490001,35.3035156,139.577808
2500205,35.3035967,139.1838757
2510043,35.3374227,139.4663063
2510052,35.3413249,139.4859
2510053,35.3446416,139.4842362
2520303,35.5309812,139.4350438
2520318,35.5335943,139.4457105
2520804,35.3967781,139.4660325
2530042,35.3379203,139.4160789
2540061,35.3480136,139.3248573
2570018,35.3623027,139.2224713
2600012,35.6095103,140.1262822
2600028,35.610695,140.1130387
2600031,35.6141567,140.1088692
2610021,35.6127771,140.0235729
2630002,35.6596523,140.1426389
2640025,35.6342937,140.154432
